Tur,x,y,presence
Cedrus libani,303500.0,4106500.0,0
Cedrus libani,304500.0,4119500.0,0
Cedrus libani,316500.0,4132500.0,1
Cedrus libani,305500.0,4117500.0,0
Cedrus libani,355500.0,4127500.0,0
Cedrus libani,318500.0,4121500.0,1
Cedrus libani,318500.0,4157500.0,0
Cedrus libani,310500.0,4142500.0,1
Cedrus libani,316500.0,4136500.0,0
Cedrus libani,335500.0,4139500.0,1
Cedrus libani,356500.0,4140500.0,1
Cedrus libani,311500.0,4159500.0,0
Cedrus libani,305500.0,4129500.0,0
Cedrus libani,341500.0,4147500.0,1
Cedrus libani,349500.0,4159500.0,1
Cedrus libani,352500.0,4154500.0,1
Cedrus libani,337500.0,4157500.0,1
Cedrus libani,319500.0,4140500.0,0
Cedrus libani,305500.0,4122500.0,0
Cedrus libani,354500.0,4111500.0,1
Cedrus libani,357500.0,4114500.0,0
Cedrus libani,338500.0,4135500.0,0
Cedrus libani,346500.0,4128500.0,1
Cedrus libani,346500.0,4120500.0,0
Cedrus libani,302500.0,4107500.0,0
Cedrus libani,357500.0,4127500.0,0
Cedrus libani,346500.0,4115500.0,0
Cedrus libani,308500.0,4101500.0,0
Cedrus libani,332500.0,4123500.0,0
Cedrus libani,351500.0,4158500.0,1
Cedrus libani,337500.0,4108500.0,0
Cedrus libani,343500.0,4115500.0,0
Cedrus libani,305500.0,4158500.0,0
Cedrus libani,340500.0,4136500.0,0
Cedrus libani,324500.0,4106500.0,1
Cedrus libani,303500.0,4119500.0,1
Cedrus libani,334500.0,4116500.0,1
Cedrus libani,316500.0,4159500.0,0
Cedrus libani,304500.0,4112500.0,0
Cedrus libani,357500.0,4125500.0,1
Cedrus libani,333500.0,4155500.0,1
Cedrus libani,330500.0,4143500.0,1
Cedrus libani,354500.0,4143500.0,1
Cedrus libani,348500.0,4146500.0,1
Cedrus libani,341500.0,4130500.0,0
Cedrus libani,324500.0,4155500.0,1
Cedrus libani,343500.0,4141500.0,1
Cedrus libani,339500.0,4119500.0,0
Cedrus libani,304500.0,4121500.0,0
Cedrus libani,316500.0,4118500.0,0
